Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2050 [YR2050]
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17501000,33129000
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9538000,16208000
Tanzania,TZA,"Population, total",SP.POP.TOTL,59734000,129387000
Thailand,THA,"Population, total",SP.POP.TOTL,69800000,65940000
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1318000,2019000
Togo,TGO,"Population, total",SP.POP.TOTL,8279000,15415000
Tonga,TON,"Population, total",SP.POP.TOTL,106000,134000
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1399000,1344000
Tunisia,TUN,"Population, total",SP.POP.TOTL,11819000,13797000
Turkey,TUR,"Population, total",SP.POP.TOTL,84339000,97140000
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6031000,7949000
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,39000,50000
Tuvalu,TUV,"Population, total",SP.POP.TOTL,12000,16000
Uganda,UGA,"Population, total",SP.POP.TOTL,45741000,89447000
Ukraine,UKR,"Population, total",SP.POP.TOTL,44158000,36799000
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9890000,10425000
United Kingdom,GBR,"Population, total",SP.POP.TOTL,67224000,74620000
United States,USA,"Population, total",SP.POP.TOTL,331915000,387002000
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2685886000,2808580000
Uruguay,URY,"Population, total",SP.POP.TOTL,3474000,3639000
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33749000,39980000
Vanuatu,VUT,"Population, total",SP.POP.TOTL,307000,557000
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28436000,37023000
Vietnam,VNM,"Population, total",SP.POP.TOTL,97339000,109605000
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107000,95000
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4813000,8767000
World,WLD,"Population, total",SP.POP.TOTL,7754179000,9672918000
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,29826000,48080000
Zambia,ZMB,"Population, total",SP.POP.TOTL,18384000,39121000
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14863000,23948000
